,name,start_x,start_y,end_x,end_y
0,Jalan Kukup - Drini - Indrayanti,110.5671304,-8.1315357,110.5669762,-8.1311693
1,Jalan Kukup - Drini - Indrayanti,110.5671304,-8.1315357,110.5682409,-8.1317455
2,Jalan Segoroyoso-Sitimulyo,110.4172593,-7.8701199,110.4167388,-7.8710599
3,Jalan Segoroyoso-Sitimulyo,110.4172593,-7.8701199,110.4183513,-7.8701579
4,Jalan Raya Prambanan,110.483416,-7.7362308,110.489283,-7.7358206
5,Jalan Raya Prambanan,110.483416,-7.7362308,110.4827428,-7.73628
6,Jalan Tepus,110.6106562,-8.0518885,110.6072442,-8.0454688
7,Jalan Tepus,110.6106562,-8.0518885,110.61132,-8.0524566
8,Jalan Gedangsari - Wonosari/Sambipitu,110.5909497,-7.8489961,110.5904723,-7.8494689
9,Jalan Gedangsari - Wonosari/Sambipitu,110.5909497,-7.8489961,110.5909313,-7.8479244
10,,110.1287381,-7.7457536,110.1277927,-7.7447012
11,,110.1287381,-7.7457536,110.1288313,-7.7470453
12,,110.7423578,-7.8606086,110.7435124,-7.8611796
13,,110.7423578,-7.8606086,110.7423243,-7.8605953
14,Jalan Dokter Radjimin,110.3471347,-7.7086218,110.3453243,-7.7114072
15,Jalan Dokter Radjimin,110.3471347,-7.7086218,110.3477168,-7.7068087
16,Jalan Abu Bakar Ali,110.37258,-7.7879536,110.373216,-7.7879778
17,Jalan Abu Bakar Ali,110.37258,-7.7879536,110.371968,-7.7881511
18,Jalan Magelang,110.3610027,-7.7774486,110.3610067,-7.7772453
19,Jalan Magelang,110.3610027,-7.7774486,110.3609722,-7.7782942
20,Jalan Mandung,110.1627025,-7.8571006,110.1652591,-7.8477928
21,Jalan Sugiman,110.1627025,-7.8571006,110.1616073,-7.8579788
22,,110.1627025,-7.8571006,110.1661566,-7.8544226
23,Jalan Parangtritis - Panggang,110.3888722,-8.0026316,110.3880554,-8.0020984
24,Jalan Parangtritis - Panggang,110.3888722,-8.0026316,110.3891344,-8.0033156
